NOMBRE;DEPORTE;TIPO;FECHA;PAIS;LUGAR;;
BADMINTON;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/20/2018 12:00:00 AM;Colombia;RISARALDA;;
GIMNASIA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/20/2018 12:00:00 AM;Colombia;MEDELLÃN;;
TAEKWONDO;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;09/19/2018 12:00:00 AM;;Taoyuan, Chinese;;
TENIS DE MESA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/18/2018 12:00:00 AM;Colombia;PAIPA;;
LUCHA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/17/2018 12:00:00 AM;Colombia;RIONEGRO;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;09/17/2018 12:00:00 AM;Peru;Lima;;
JUDO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/13/2018 12:00:00 AM;Colombia;BOGOTA;;
BALONCESTO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;9/08/2018 0:00;Colombia;NEIVA;;
GIMNASIA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;9/07/2018 0:00;Colombia;BOGOTÃ - COLOMBIA;;
GOLF;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;9/06/2018 0:00;Argentina;PILAR-ARGENTINA;;
GOLF;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;9/05/2018 0:00;Peru;LIMA -PERU;;
ECUESTRE;ENTRENADORES;ENTRENADORES;9/01/2018 0:00;Colombia;BOGOTA;;
GOLF;DEPORTIVO;DEPORTIVO;12/20/2017 12:00:00 AM;ESTADOS UNIDOS;CORAL GABLES, FL;;
DEPORTES AÃ‰REOS;DEPORTIVO;DEPORTIVO;12/15/2017 12:00:00 AM;VALLE;ROLDANILLO - VALLE;;
AJEDREZ;;;12/14/2017 12:00:00 AM;COLOMBIA;CARTAGENA;;
GOLF;CONCENTRACIÃ“N;CONCENTRACIÃ“N;12/13/2017 12:00:00 AM;ESTADOS UNIDOS;CAROLINA DEL SUR;;
BRIDGE;;;12/10/2017 0:00;BOGOTA;BOGOTA;;
GOLF;DEPORTIVO;DEPORTIVO;12/10/2017 0:00;ESTADOS UNIDOS;SARASOTA;;
SOFTBOL;;;12/10/2017 0:00;COLOMBIA;BOGOTA;;
RUGBY;CONCENTRACIÃ“N;CONCENTRACIÃ“N;12/09/2017 0:00;COLOMBIA;CALI/CUCUTA/PEREIRA/MEDELLIN/BOGOTA/BARRANQUILLA/RIOACHA/SANTANDER/;;
SAMBO;;;12/09/2017 0:00;EUROPA;TOLIMA;;
DEPORTES AÃ‰REOS;DEPORTIVO;DEPORTIVO;12/08/2017 0:00;VALLE;BELLO HORIZINTE -VALLE;;
GOLF;DEPORTIVO;DEPORTIVO;12/08/2017 0:00;COLOMBIA;MEDELLÃN;;
ECUESTRE;DEPORTIVO;DEPORTIVO;12/07/2017 0:00;COLOMBIA;BOGOTA;;
GOLF;DEPORTIVO;DEPORTIVO;12/07/2017 0:00;CHILE;SANTIAGO DE CHILE;;
BOWLING;;;12/04/2017 0:00;KUWAIT;KUWAIT;;
JIU-JITSU;;;12/02/2017 0:00;COLOMBIA;BOGOTA;;
TENIS;CONCENTRACIÃ“N;CONCENTRACIÃ“N;12/02/2017 0:00;COLOMBIA;BOGOTA;;
